Country/Region,Lat,Long,cases
Senegal,14.4974,-14.4524,11175
Canada,53.9333,-116.5765,11430
North Macedonia,41.6086,21.7453,11839
Sudan,12.8628,30.2176,11956
Madagascar,-18.766947,46.869107,13086
Bulgaria,42.7339,25.4858,13396
Bosnia and Herzegovina,43.9159,17.6791,13687
West Bank and Gaza,31.9522,35.2332,14208
Denmark,56.2639,9.5018,14442
"Korea, South",35.907757,127.766922,14626
Australia,-37.8136,144.9631,14957
Cote d'Ivoire,7.54,-5.5471,16715
Cameroon,3.848,11.5021,18042
Czechia,49.8175,15.473,18353
El Salvador,13.7942,-88.8965,20423
Austria,47.5162,14.5501,22033
Ethiopia,9.145,40.4897,22818
Nepal,28.1667,84.25,22972
Costa Rica,9.7489,-83.7534,23286
Venezuela,6.4238,-66.5897,25805
Kenya,-0.0236,37.9062,26436
Ireland,53.1424,-7.6921,26712
Moldova,47.4116,28.3699,27660
Serbia,44.0165,21.0059,28099
Uzbekistan,41.377491,64.585262,30609
Morocco,31.7917,-7.0926,33237
Azerbaijan,40.1431,47.5769,33568
Algeria,28.0339,1.6596,35160
Switzerland,46.8182,8.2275,36603
Afghanistan,33.93911,67.709953,37054
Kyrgyzstan,41.20438,74.766098,39919
Armenia,40.0691,45.0382,40410
Ghana,7.9465,-1.0232,41003
Canada,51.2538,-85.3232,41962
Bahrain,26.0275,50.55,44011
Nigeria,9.082,8.6753,46577
Honduras,15.2,-86.2419,47454
Japan,36.204824,138.252924,48782
Poland,51.9194,19.1451,51791
Portugal,39.3999,-8.2245,52668
Singapore,1.2833,103.8333,55104
Guatemala,15.7835,-90.2308,56605
Netherlands,52.1326,5.2913,58564
Canada,52.9399,-73.5491,60471
Romania,45.9432,24.9668,61768
United Arab Emirates,23.424076,53.847818,62525
China,30.9756,112.2707,68139
Belarus,53.7098,27.9534,68850
Kuwait,29.31166,47.481766,71713
Belgium,50.8333,4.469936,74152
Panama,8.538,-80.7821,74492
Dominican Republic,18.7357,-70.1627,79732
Oman,21.512583,55.923255,81580
Sweden,60.128161,18.643501,82323
Ukraine,48.3794,31.1656,82767
Israel,31.046051,34.851612,83002
Bolivia,-16.2902,-63.5887,89999
Ecuador,-1.8312,-78.1834,94459
Egypt,26.820553,30.802498,95492
Kazakhstan,48.0196,66.9237,99442
Qatar,25.3548,51.1839,112947
Indonesia,-0.7893,113.9213,125396
Philippines,12.879721,121.774017,129913
Iraq,33.223191,43.679291,150115
Germany,51.165691,10.451526,217288
France,46.2276,2.2137,222402
Turkey,38.9637,35.2433,240804
